Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/02 11:26,353132,814282F31,255063,814282BC1,0.02664,Bitcoin,0.02664,Bitcoin,Bitcoin,0
2022/09/02 04:29,29003,80B58DFD0,123390,80EC2ACA0,91604.31,US Dollar,91604.31,US Dollar,ACH,0
2022/09/10 01:30,143430,810A32FA0,244192,811917200,2145.51,Shekel,2145.51,Shekel,Cheque,0
2022/09/07 21:25,16678,806484950,17554,806AAFE90,108457.21,Ruble,108457.21,Ruble,Cheque,0
2022/09/02 06:22,210,809181590,24779,80924A880,7577.02,Canadian Dollar,7577.02,Canadian Dollar,Credit Card,0
2022/09/08 10:25,70,1004286A8,23555,80B7A5990,1638.74,Euro,1638.74,Euro,Cheque,0
2022/09/01 02:28,219557,80BEF7290,219557,80BEF7290,1332.43,Ruble,1332.43,Ruble,Reinvestment,0
2022/09/01 00:09,122094,812AFB660,122094,812AFB660,7.09,Euro,7.09,Euro,Reinvestment,0
2022/09/05 23:09,70,1004286A8,23555,803D194C0,1153.78,Euro,1153.78,Euro,Cheque,0
2022/09/07 06:41,21940,802010FD0,227720,80A2B9A00,52.02,US Dollar,52.02,US Dollar,Credit Card,0
2022/09/02 23:57,13083,8013490B0,13858,80496C620,123.05,Euro,123.05,Euro,ACH,0
2022/09/06 02:06,17120,807040990,219656,807495470,12270.9,Ruble,12270.9,Ruble,Cheque,0
2022/09/07 09:04,217496,806E370A0,219205,8071257C0,147506.36,Ruble,147506.36,Ruble,Credit Card,0
2022/09/01 00:06,325818,809E614C0,226548,809E61470,0.02,Canadian Dollar,0.02,Canadian Dollar,ACH,0
2022/09/01 18:04,15747,80B49CB60,221731,80D925860,1638.47,US Dollar,1638.47,US Dollar,ACH,0
2022/09/09 21:59,2053,804E46240,239173,8111E48D0,550.21,US Dollar,550.21,US Dollar,Credit Card,0
2022/09/05 13:25,12719,801854D90,6179,803797830,17.13,US Dollar,17.13,US Dollar,ACH,0
2022/09/07 11:18,10656,803EF16F0,210185,803EF4500,457265.23,Yen,457265.23,Yen,ACH,0
2022/09/09 10:40,213580,808EA7B30,113744,80BD61490,885.61,US Dollar,885.61,US Dollar,Cheque,0
2022/09/01 12:32,1292,80018F970,1412,80315F700,324.95,US Dollar,324.95,US Dollar,Wire,0
2022/09/08 02:28,8248,8036BE030,232304,80F007280,65602.09,Yuan,65602.09,Yuan,Credit Card,0
2022/09/08 12:22,14650,8068ECEA0,14254,80B4E4810,113.06,Euro,113.06,Euro,Cheque,0
2022/09/01 07:46,26024,803C2C7B0,10232,80730D300,236.37,US Dollar,236.37,US Dollar,Credit Card,0
